Source,Target,Weight
arna0440-dos-code_text,arna0440-source_text,0
arna0440-dos-code_text,blac0350-code_text,0
arna0440-dos-code_text,dove0550-code_text,0
arna0440-dos-code_text,jame0551-code_text,0
arna0440-dos-code_text,long0500-code_text,0
arna0440-dos-code_text,muno0370-code_text,0
arna0440-dos-code_text,oska0551-code_text,0
arna0440-dos-code_text,supn0350-code_text,0
arna0440-dos-code_text,vane0560-code_text,0
arna0440-dos-code_text,wood0350-code_text,0
arna0440-dos-code_text,wood043b-code_text,0
arna0440-source_text,blac0350-code_text,0
arna0440-source_text,dove0550-code_text,0
arna0440-source_text,jame0551-code_text,0
arna0440-source_text,long0500-code_text,0
arna0440-source_text,olss0551-code_text,0
arna0440-source_text,oska0551-code_text,0
arna0440-source_text,supn0350-code_text,0
blac0350-code_text,dove0550-code_text,0
blac0350-code_text,jame0551-code_text,0
blac0350-code_text,long0500-code_text,0
blac0350-code_text,muno0370-code_text,0
blac0350-code_text,olss0551-code_text,0
blac0350-code_text,oska0551-code_text,0
blac0350-code_text,vane0560-code_text,0
blac0350-code_text,wood0350-code_text,0
blac0350-code_text,wood043b-code_text,0
dove0550-code_text,jame0551-code_text,0
dove0550-code_text,long0500-code_text,0
dove0550-code_text,muno0370-code_text,0
dove0550-code_text,olss0551-code_text,0
dove0550-code_text,oska0551-code_text,0
dove0550-code_text,supn0350-code_text,0
dove0550-code_text,vane0560-code_text,0
dove0550-code_text,wood0350-code_text,0
dove0550-code_text,wood043b-code_text,0
jame0551-code_text,long0500-code_text,0
jame0551-code_text,muno0370-code_text,0
jame0551-code_text,oska0551-code_text,0
jame0551-code_text,supn0350-code_text,0
jame0551-code_text,wood0350-code_text,0
jame0551-code_text,wood043b-code_text,0
long0500-code_text,muno0370-code_text,0
long0500-code_text,olss0551-code_text,0
long0500-code_text,supn0350-code_text,0
long0500-code_text,vane0560-code_text,0
long0500-code_text,wood043b-code_text,0
muno0370-code_text,oska0551-code_text,0
muno0370-code_text,supn0350-code_text,0
olss0551-code_text,oska0551-code_text,0
olss0551-code_text,supn0350-code_text,0
olss0551-code_text,wood0350-code_text,0
olss0551-code_text,wood043b-code_text,0
oska0551-code_text,supn0350-code_text,0
oska0551-code_text,vane0560-code_text,0
oska0551-code_text,wood043b-code_text,0
supn0350-code_text,vane0560-code_text,0
supn0350-code_text,wood0350-code_text,0
supn0350-code_text,wood043b-code_text,0
jame0551-code_text,vane0560-code_text,3.03E-05
muno0370-code_text,olss0551-code_text,0.000112108
olss0551-code_text,vane0560-code_text,0.000112429
jame0551-code_text,olss0551-code_text,0.00016533
arna0440-dos-code_text,olss0551-code_text,0.000387697
arna0440-source_text,wood043b-code_text,0.00986704
arna0440-source_text,vane0560-code_text,0.014344442
oska0551-code_text,wood0350-code_text,0.017613299
long0500-code_text,wood0350-code_text,0.018314532
vane0560-code_text,wood043b-code_text,0.024330063
vane0560-code_text,wood0350-code_text,0.040676467
muno0370-code_text,vane0560-code_text,0.041357494
wood0350-code_text,wood043b-code_text,0.056966146
muno0370-code_text,wood043b-code_text,0.059478014
arna0440-source_text,muno0370-code_text,0.09239156
arna0440-source_text,wood0350-code_text,0.166972218
muno0370-code_text,wood0350-code_text,0.426209677
long0500-code_text,oska0551-code_text,0.696969697
blac0350-code_text,supn0350-code_text,1
